Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Month,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday,Rented Bike Count_predicted
-0.5349837072002506,0,-5.2,37,0.6214227000797007,0.9782138369804688,-1.5568544776684057,-0.8483208275010382,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.8709860233669758
-0.6820154794987179,1,-5.5,38,-0.9297181571322796,0.9782138369804688,-1.5568544776684057,-0.8483208275010382,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.7356298214636035
-0.7851733415207666,2,-6.0,39,-0.6485082609536439,0.9782138369804688,-1.5630693953346044,-0.8483208275010382,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.8382185133355173
-1.0531012704594356,3,-6.2,40,-0.7855689419795878,0.9782138369804688,-1.5568544776684057,-0.8483208275010382,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-1.0710095644956095
-1.2055680529107242,4,-6.0,36,0.7054561735119348,0.9782138369804688,-1.6189149361749744,-0.8483208275010382,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-1.2205632587976012
-1.0872237661201833,5,-6.4,37,-0.04875118702816453,0.9782138369804688,-1.6251103368304405,-0.8483208275010382,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-1.1051122386134171
-0.7574885776993798,6,-6.6,35,-0.2735282638687769,0.9782138369804688,-1.6746062141170452,-0.8483208275010382,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.8928979134722853
-0.07326394429771894,7,-7.4,38,-0.7855689419795878,0.9782138369804688,-1.6622433281520093,-0.8483208275010382,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.2194251380532662
0.6178156831737619,8,-7.6,37,-0.5178581309551227,0.9782138369804688,-1.6931369517083024,-0.7943909758288747,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.024849526409015197
-0.01810729193872985,9,-6.5,27,-1.4133688412958263,0.831073080416508,-1.8530875213930076,0.0755291392345808,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.1873565202895267
-0.3228270167250189,10,-3.5,24,-0.39303399602981137,0.9699793871953435,-1.7794048488825815,0.8665601900989314,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.3792640586332405
-0.2758197573683139,11,-0.5,21,-0.2735282638687769,0.8473085193818186,-1.7178196178565084,1.1371494255634949,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.3602911164798827
-0.09406565739771909,12,1.7,23,-0.15889732217704938,0.9782138369804688,-1.5319745665252302,1.245918274804984,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.15972535910357621
-0.09025939734986221,13,2.4,25,0.057254832859421956,0.9782138369804688,-1.4321173486489795,1.2730549238203064,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.15208246559694957
-0.09788281170044122,14,3.0,26,0.44553342033386206,0.9782138369804688,-1.3694148377176525,1.1853389215426278,-0.2528886695755638,-0.23078536279457507,12,False,False,False,True,True,-0.23664391669578805
